"","job_title","Less_than_1_year","Four_Plus_years","Five_to_Nine_years","Ten_to_Nineteen_years","Twenty_plus_years"
"2113","Renal Nurse",NA,NA,NA,NA,NA
"2114","Nursing Team Leader",NA,NA,NA,NA,NA
"2115","Distribution Administrator",NA,NA,NA,NA,NA
"2116","Trades Manager",NA,NA,NA,NA,NA
"2117","Mountain Manager",NA,NA,NA,NA,NA
"2118","Clerical Administrative",NA,NA,NA,NA,NA
"2119","Ambulatory Registered Nurse",NA,NA,NA,NA,NA
"2120","Home Health Nurse",26.88,28.06,28.7,30.24,27.76
"2121","Nanny",13.1,14.83,15.63,16.72,16.36
"2122","Personal Care Assistant (PCA)",11.07,11.5,11.88,12.09,13.13
"2123","General Manager, Hotel",45320.94,49220.38,55078.95,64870.55,79460.04
"2124","Direct Support Professional",11.76,12.06,12.39,12.87,12.95
"2125","Personal Trainer",15.17,17.93,25.36,30.95,43.92
"2126","Front Office Manager",35389.08,41220.43,46308.79,50263.14,46354.2
"2127","Child Care / Day Care Worker",9.67,9.98,10.93,11.17,11.79
"2128","Babysitter",10.12,11.2,12.53,14.36,12.7
"2129","Concierge",13.83,14.35,15.06,15.58,15.95
"2130","Porter",11.74,12.21,13.11,14.3,15.96
"2131","Program Assistant (Unspecified Type)",15.75,16.41,16.45,17.3,17.7
"2132","Funeral Director",39667.37,42551.25,47846.53,55398.29,58236.35
"2133","Personal Care Attendant (PCA)",10.66,11.32,12.04,12.04,12.06
"2134","Salon Manager",12.03,13.71,14.44,14.6,14.78
"2135","Front Desk Manager",12.8,13.4,14.41,15.17,17.35
"2136","Health Coach",18.36,19.98,22.12,22.89,25.31
"2137","Hair Stylist",9.78,10.23,11.84,11.44,12.31
"2138","Cosmetologist",9.69,10.7,11.78,12.61,14.57
"2139","Flight Attendant",20.6,22.49,29.58,38.69,64.36
"2140","Assistant General Manager, Hotel",39321.27,40229.89,44660.42,47832.14,47354.64
"2141","Beauty Advisor",11.24,12.07,13.28,14.6,15.96
"2142","Hairstylist",9.2,10.7,11.39,11.61,11.48
"2143","Stylist",9.84,10.64,11.26,11.79,11.05
"2144","Hotel Manager",40207.54,44964.44,50427.55,58885.53,67262.16
"2145","Strength and Conditioning Coach",38477.37,39711.89,45618.58,49766.08,54044.94
"2146","Childcare Worker",9.88,10.59,11.25,11.87,12.24
"2147","Dog Groomer",10.86,12.07,14.74,15.55,17.25
"2148","Funeral Director/Embalmer",35355.21,41567.41,48362.26,50044.66,54870.96
"2149","Program Assistant, Non-Profit Organization",38981.3,39622.8,41375.85,44900.53,40000
"2150","Child Care Provider",9.95,10.85,10.99,12.65,13.32
"2151","Life Enrichment Coordinator",14.27,15.19,15.5,17.34,16.53
"2152","Esthetician",13.21,13.93,15.75,18,19.4
"2153","Hospitality Manager",46580.29,47962.55,54595.73,53878.6,57104.09
"2154","Fitness Instructor",15.14,19.69,22,25.07,24.72
"2155","Medical Esthetician",15.44,16.26,17.87,18.79,23.31
"2156","Guest Services Manager",40057.59,41557.22,47869.45,50125.36,49142.5
"2157","Dog Trainer",12.26,12.83,14.21,14.46,15.53
"2158","Childcare Provider",9.81,10.12,11.36,12.12,11.22
"2159","Spa Manager",43909.09,41400.43,44826.85,49158.2,47051.96
"2160","Activities Coordinator",13.95,14.4,15.95,15.86,17.12
"2161","Companion",10.9,11.63,12.77,14.74,13.84
"2162","Shift Manager, Hotel Front Desk",10.64,11.31,11.61,11.79,13.8
"2163","Barber",12.14,14.73,14.73,18,14.74
"2164","Recreation Coordinator",14.59,15.64,16.42,21.83,20.76
"2165","Makeup Artist",16.32,16.81,20.4,24.3,24.44
"2166","Direct Care Provider",11.19,11.1,11.72,12.58,10.79
"2167","Valet",10.32,10.68,10.91,13.88,10.5
"2168","Kennel Technician",9.31,10.06,11.01,11.79,NA
"2169","Dog Kennel Attendant",9.86,10.72,11.76,10.85,NA
"2170","Fitness Manager",36938.25,41744.02,48092.07,46773.69,40591
"2171","Yoga Instructor",20.78,24.1,25.17,35.75,30
"2172","Animal Care Technician",13.44,14.1,14.73,15.82,21.95
"2173","Care Provider",10.8,11.18,12.15,12.26,11.72
"2174","Dog Bather",9.89,10.3,10.84,11.29,NA
"2175","Professional Organizer",23,25.26,25.33,30.72,40
"2176","Nurse Home Care",24.92,25.98,28.84,30.34,29.79
"2177","Dog Walker",14.24,15,19.74,15,15.36
"2178","Nail Technician",11.04,11.29,11.55,14.94,15.17
"2179","Recreation Supervisor",38121.34,42259.48,47603.8,52196.24,61026.88
"2180","Beauty Consultant",13.44,13.88,14.91,15.53,14.6
"2181","Wellness Coach",13.1,16.21,19.84,26.49,55
"2182","Daycare Assistant",9.91,10.27,11.19,12,11.47
"2183","School Bus Monitor",10.64,11.19,11.66,12.5,12.75
"2184","Aesthetician/Esthetician",13.79,14.59,15.46,19.7,20.17
"2185","Animal Control Officer",13.52,14.59,15.63,17.97,20.99
"2186","Hairdresser, Hairstylist, or Cosmetologist",9.17,9.72,10.23,10.49,12.1
"2187","Daycare Provider",9.42,9.95,11.81,12.78,11.77
"2188","Child Care Assistant",10.15,10.3,11.99,10.92,10.17
"2189","Pet Groomer",10.85,11.91,13.54,15.4,16.59
"2190","Resident Services Coordinator",16.89,17.89,19.04,20.9,19.43
"2191","Assistant Golf Professional",11.08,12.15,13.61,14.02,12.21
"2192","Exercise Specialist",15.52,16.52,19.7,22.24,21.54
"2193","Guest Services Manager, Hotel",39507.25,39492.03,43250.17,47605.8,52116.3
"2194","Hairdresser",12.77,11.47,13.85,10.86,13.85
"2195","Assistant Front Office Manager",39012.47,44410.99,44382.75,42954.73,49008.89
"2196","Spa Director",49440.55,60483.49,62854.57,61277.16,NA
"2197","Doorman",15.79,16.93,19,20.13,14.54
"2198","Animal Caretaker",11.87,12.93,12.27,14.24,15.25
"2199","Esthetician (Non-Medical)",12.21,14.59,14.83,15.43,20
"2200","Licensed Medical Aesthetician",15.01,16.16,18.74,19.88,18.68
"2201","Camp Counselor",9.18,9.67,11.1,11.14,NA
"2202","Personal Care Provider",10.21,10.21,11.06,12.17,12.54
"2203","Slot Technician",13.94,14.44,16.61,19.37,20.66
"2204","Zookeeper",11.02,12.38,14.78,16.52,18.43
"2205","In-Home / Live-In Babysitter",10.81,12.21,12.14,14.55,15.1
"2206","Casino Shift Manager",46451.61,47797.8,51264.17,55955.06,59926.79
"2207","Case Management Coordinator",17.98,18.86,19.9,22.63,22.24
"2208","Head Golf Professional",50413.93,50019.81,51287.1,54981.82,NA
"2209","Bellman",9.56,10.09,13,11.5,14.24
"2210","Private Duty Companion",12.21,12.8,12.85,14.43,14.87
"2211","Animal Technician",15.17,15.26,15.56,19.53,23.94
"2212","Tour Guide",11.9,12.18,14.58,14.87,17.69
"2213","Nursery Worker",9.95,11.86,12.22,14.42,15
"2214","Direct Support Worker",9.98,10.84,11.37,11.78,12.12
"2215","Fitness Specialist",14.79,15.21,18.15,22.63,25
"2216","Motel Manager",23781.01,26693.56,28000,33657.42,35492.96
"2217","Nanny or Aupair",14.74,14.89,15.81,19.37,19.51
"2218","Executive Steward",49120.96,58722.84,63434.47,66988.85,NA
"2219","Pilates Instructor",24.72,25.53,31.75,36.57,37.34
"2220","Security Officer",12.74,13.24,14.31,14.54,14.91
"2221","Security Guard",12.37,12.96,13.21,13.97,14.69
"2222","Police or Sheriff's Patrol Officer",47028.01,49248.66,54854.18,63843.35,68196.21
"2223","Intelligence Analyst",57853.92,64885.52,74330.55,88278.28,92895.47
"2224","Correctional Officer",16.26,16.98,18.32,19.62,21.76
"2225","Fire Fighter",42565.57,43471.8,49443.01,60805.5,72420.75
"2226","Security Officer Armed",14.28,15.2,16.25,17.43,18.76
"2227","Lifeguard",9.89,10.29,11.32,12.34,14
"2228","Corrections Officer",16.77,17.93,20.29,23.78,26.81
"2229","Deputy Sheriff",40370.51,42445.1,44601.94,50375.94,59364.86
"2230","Flagger",13.29,14.22,15.07,16.27,21.5
"2231","Police Officer",49159.24,49633.13,56225.38,62045.16,77379.59
"2232","Police Sergeant",58926.73,59670.56,70819.38,81150.74,NA
"2233","Detention Officer",16.54,17.23,20.74,22.17,26.76
"2234","Armed Security Guard",13.49,14.97,15.37,16.63,17.56
"2235","Asset Protection Associate",13.75,14.73,15.11,16.45,15.9
"2236","Police Chief",60000,56064.18,63963.64,84608.48,NA
"2237","Background Investigator",18.02,18.91,20.73,25.05,30
"2238","Fire Sprinkler Inspector",17.11,19.57,24.73,26.81,27.92
"2239","Detective or Criminal Investigator",49067.48,50066.92,61360.15,71921,71799.78
"2240","Fire Chief",68467.15,68319.9,76102.45,86765.21,NA
"2241","Detective",59665.14,60227.55,62755.99,71238.04,82458.35
"2242","Asset Protection Specialist",13.66,14.52,15.49,15.87,16.76
"2243","Security Officer/Guard",11.85,13,13.7,13.81,14.86
"2244","Senior Intelligence Analyst",83629.91,94092.84,97134.85,106774.23,NA
"2245","Asset Protection Manager",52901.34,51642.29,53255.82,58396.18,61082.67
"2246","FBI Agent",60000,62750.72,67228.84,79765.55,99712.21
"2247","Fire Inspector",17.32,18.71,24.99,26.93,25.23
"2248","Police Lieutenant",64000,65596.47,76797.39,92133.29,NA
"2249","Private Detective or Investigator",18,19.85,24.88,29.66,30.44
"2250","Special Agent (Federal)",63444.42,65020.65,82942.05,110007.21,133368.79
"2251","Police Captain",75000,67202.42,73163.51,90892.17,NA
"2252","Fire Captain",52981.13,49948.31,65720.46,79572.28,NA
"2253","Loss Prevention Officer",13.21,14.13,15.39,15.6,15.56
"2254","State Trooper",48294.52,49074.7,61640.52,70140.42,72526.09
"2255","Correctional Officer / Jailer",15.46,15.96,15.24,18.94,22.99
"2256","Loss Control Consultant",60766.53,64783.41,74225.64,87623.19,84497.04
"2257","Loss Prevention Associate",12.49,13.53,15.25,15.02,16.15
"2258","Police Detective",56301.5,58757.36,63354.04,64606.16,85696.3
"2259","Loss Prevention Investigator",15.03,16.4,18,17.2,19.07
"2260","Loss Prevention Agent",12.96,14.57,16.28,17.28,17
"2261","Armored Car Guard & Driver",14.48,14.61,16,18,15
"2262","Fire Lieutenant",44004.48,55320.76,60768.51,80450.77,NA
"2263","Senior Corrections Officer",43477.87,42324.39,46288.25,79562.69,NA
"2264","First-Line Supervisor / Manager of Correctional Officers",35894.65,43445.08,44205.39,61244.56,NA
"2265","Fire Marshal",42000,56001.81,63479.47,64671.71,75853.39
"2266","Border Patrol Agent",49934.4,54383.32,73379.31,92378.91,109165.1
"2267","Fire Safety Director",20.66,23.06,23.12,21.3,NA
"2268","Surveillance Operator",13.4,14.29,15.44,16,19
"2269","Intelligence Officer",68009.11,62167.69,89615.11,104575.62,114355.12
"2270","Surveillance Technician",16.2,17.14,19.68,21.34,28.29
"2271","Intelligence Specialist",65776.73,76034.49,95710.36,92960.78,NA
"2272","Jailer",13.26,14.61,15,14,16.01
"2273","Campus Security Officer",13.12,14.36,15.25,17.56,17
"2274","Deputy Chief, Police Department",69029.6,49000,82698.91,88287.17,NA
"2275","Immigration Officer",47980.05,58116.85,72977.13,72831.96,85000
"2276","Gaming Surveillance Officer or Gaming Investigator",13.29,13.62,15.74,17.54,24.47
"2277","School Crossing Guard",12.58,14.17,12.21,11.45,16
"2278","Agriculture Specialist",48000,50152.84,50949.21,69919.27,70000
"2279","Police Investigator",50000,55877.22,62465.06,65330.29,NA
"2280","Homicide Detective",59780.5,73485.26,75090.5,82887.51,107405.79
"2281","Senior Loss Control Specialist",56324.68,79250.96,84362.07,88647.37,NA
"2282","Fireman",40468.61,48605.31,47864.73,51000,49434.82
"2283","Surveillance Supervisor",42965.44,45470.45,49017.49,NA,NA
"2284","Deputy Fire Chief",71368.47,90471.81,NA,NA,NA
"2285","Parking Enforcement Worker",12.33,12.7,16.68,15.01,14.23
"2286","Fire Inspector / Investigator",52618.28,53343,65000,78797,NA
"2287","Patrolman",16.83,19.01,18.75,24.06,NA
"2288","Bailiff",15,15.17,14.71,16.27,23.5
"2289","Crossing Guard",11.83,11.24,12.05,12.93,16.69
"2290","Asset Protection Detective",13.32,14.15,14.83,15.72,NA
"2291","Bodyguard",104000,53457.94,67563.44,104000,65000
"2292","Policeman",39614.99,46494.62,40000,51997.09,43960.74
"2293","Bouncer",10.98,13.61,14.74,19,NA
"2294","Constable",42500,37500,51000,40312.03,NA
"2295","Security Guard Gate",12.32,13,11.55,NA,NA
"2296","First-Line Supervisor / Manager of Police and Detectives",152500,53959.47,84724.54,NA,NA
"2297","Game Warden",50868.24,49131.76,39300,47862.36,61984.28
"2298","Supervisory Special Agent",98263.52,102894.55,151086.47,NA,NA
"2299","Bail Bonding Agent",12.12,12.75,15.25,NA,NA
"2300","Assistant Fire Chief",73788.01,1e+05,NA,NA,NA
"2301","U.S. Marshal",44949.74,52380.95,62400,60000,NA
"2302","Customs Officer",38000,61221,72876.71,91270.08,86575
"2303","Prison Guard",35000,37495,49434.82,48185.56,63500
"2304","Skip Tracer",12.48,13.69,14.58,16.42,16.22
"2305","Security Screener, Airline",13.02,12.5,12.21,18.88,NA
"2306","Law Enforcement Park Ranger",49000,46000,48600,92000,NA
"2307","Canine Enforcement Officer (K-9 Enforcement Officer)",30000,64000,75500,NA,NA
"2308","Guard Gate",10.81,13,NA,NA,NA
"2309","Ski Patroller",14.53,18.27,17.41,NA,NA
"2310","Prison Officer",23007.85,36000,31100.38,NA,NA
"2311","Bounty Hunter",58958.11,50000,NA,NA,NA
"2312","Special Weapons and Tactics (SWAT) Team Member",11.49,10.75,14.62,20,NA
"2313","Sky Marshal or Air Marshal",51766.17,65000,89776.52,79500,NA
"2314","Surveillance System Monitor",13.48,17.39,15,19.25,NA
"2315","County Deputy, Civil Service",73878.38,66043,62000,94500,NA
"2316","Fish and Game Warden",23.97,25.68,NA,NA,NA
"2317","Passport Specialist",40000,NA,NA,NA,NA
"2318","Animal Control Worker",12.14,12.14,NA,NA,NA
"2319","Bonding Agent",45000,NA,NA,NA,NA
"2320","Cashier",9.99,10.35,11.03,11.53,11.85
"2321","Sales Associate",10.76,11.2,11.99,12.87,13.41
"2322","Retail Store Manager",41243.19,44207.74,49235.41,53213.17,57505.69
"2323","Retail Store Assistant Manager",12.25,13.17,14.65,15.13,15.34
"2324","Retail Sales Associate",10.85,11.28,12.09,12.82,13.94
"2325","Assistant Store Manager",12.25,13.47,15.33,16.25,16.56
"2326","Sales Consultant",43643.08,49085.95,56162.94,63304.79,64877.29
"2327","Parts Manager",40062.73,43097.14,49556.66,52799.32,56059.15
"2328","Retail Shift Supervisor",12.7,13.23,13.97,14.48,15
"2329","Retail Manager",39041.4,41246.87,45891.66,50599.11,54447.37
"2330","Key Holder",10.32,11.37,12.55,12.24,12.09
"2331","Retail Sales Manager",14.26,15.06,16.35,17.36,18.42
"2332","Customer Service Sales Associate",11.24,11.85,12.33,13.25,14.04
"2333","Department Manager, Retail Store",13.31,14.45,15.73,16.09,18.5
"2334","Automobile Service Advisor",34716.17,38615.49,42708.86,48368.93,49571.35
"2335","Parts Counterman",12.52,13.73,14.89,16.14,16.66
"2336","Store Manager (Unspecified Type)",37978.39,44426.15,49297.53,51507.19,50932.69
"2337","District Manager, Retail",61413.33,63382.93,71533.62,80200.47,85331.44
"2338","Head Cashier",12.7,13.09,13.63,14.17,14.22
"2339","Sales Clerk/Cashier",10.34,10.89,11.35,11.89,12.73
"2340","Retail Assistant Manager",12.54,13.64,14.52,15.4,15.43
"2341","Retail Associate",11.04,11.23,12.2,12.68,12.58
"2342","Parts Specialist",11.24,13.2,14.81,15.61,17.53
"2343","Sales Team Leader, Retail",12.27,13.02,14.64,17.14,17.48
"2344","Retail Cashier",10.07,10.7,11.33,11.92,11.47
"2345","Courtesy Clerk",10.45,10.82,10.33,11.33,10.87
"2346","General Store Manager",40972.74,44476.59,48528.9,56136.23,59703.82
"2347","Convenience Store Manager",39119.71,39884.71,40949.49,44122.75,47995.1
"2348","Service Writer",12.92,14.4,15.31,15.65,17.42
"2349","Customer Service Cashier",10.67,11.14,11.35,11.85,12.08
"2350","Retail Supervisor",14.19,14.83,15.51,16.32,17.14
"2351","Store Team Leader",10.81,12.48,14.65,15.58,17.38
"2352","Retail Department Supervisor",15.34,15.95,17.07,18,19.26
"2353","Service Manager",51626.77,57946.15,65322.05,71193.77,NA
"2354","Produce Manager (Grocery)",14.9,14.9,16.07,18.49,18.99
"2355","Meat Manager",14.77,18.18,19.22,20.64,21.18
"2356","Grocery Store Manager",41407.6,49173.12,53956.56,60032.52,63052.91
"2357","Grocery Stocker",11.15,11.86,12.24,13.1,14.4
"2358","Keyholder",10.12,11.18,12.46,12.09,10.83
"2359","Lead Cashier",10.73,11.36,11.68,12.13,12.26
"2360","Retail Sales Representative",11.16,12.8,13.93,15.04,14.74
"2361","Front End Supervisor",11.79,12.21,13.75,15.22,15.38
"2362","Parts Advisor",12.8,14.4,15,15.57,17.38
"2363","Floor Supervisor",11.4,14.17,16.48,18.59,17.7
"2364","Supermarket Department Manager, Dairy & Frozen Foods",12.1,12.93,13.72,15.66,18.22
"2365","Automotive Retail Salesperson",30663.46,35153.15,42729.32,52116.3,58554.89
"2366","Merchandise Coordinator",14.03,13.4,13.62,13.22,15.17
"2367","Sales Operations Coordinator",44629.76,48270.05,53399.41,54636.67,55000
"2368","Sales Support Associate",12.48,13.59,13.23,18.33,18.53
"2369","Front End Manager",10.32,13.42,14.91,16.19,16.7
"2370","Retail Store Manager, Grocery",14.56,16.76,18.2,18.97,NA
"2371","Assistant Grocery Store Manager",13.17,14.74,15.63,16.29,17.49
"2372","Retail Sales Assistant",11.64,12.38,12.69,12.75,13.72
"2373","Sales Clerk",9.7,10.41,11.71,11.78,12.85
"2374","Retail Department Manager",13.52,14.2,15.36,16.65,17.31
"2375","Retail Sales Specialist",11.93,12.48,14.06,15.64,16.24
"2376","Regional Manager, Retail",54788.37,63581.92,71910.51,83873.14,92096.18
"2377","Sales Consultant, Jewelry",10.22,11.04,13.58,13.7,15.72
"2378","Showroom Manager",39547.85,50781.54,53919.47,63749.28,51188.43
"2379","Sales Clerk, Retail Store",10.62,10.8,11.49,12.25,11.26
"2380","Produce Department Manager (Grocery)",12.67,14.95,16.53,16.45,19.32
"2381","Floral Manager",11.95,14.04,14.67,15.48,16.52
"2382","Liquor Store Manager",12.75,13.35,13.97,15.1,16
"2383","Counter Manager",13.05,16.24,16.7,17.23,17.58
"2384","Gas Station Manager",11.63,12.42,13.89,14.62,15.04
"2385","Assistant Produce Manager",14.19,15.08,16.82,17.28,NA
"2386","Sales Consultant, Automobile/Cars",29990.02,33194.74,36316.31,40000,48500
"2387","Branch Manager, Retail",46914.89,58978.5,62280.18,60972.9,61099.76
"2388","Front End Clerk",10.99,11.17,12.24,13.57,12.27
"2389","Supermarket Department Manager, Bakery & Delicatessen (Deli)",12.29,14.05,15.56,16.1,17.82
"2390","Assistant Department Manager",13.61,15.3,16.25,17.3,18.49
"2391","Merchandising Supervisor",14.42,14.97,15.47,16.65,16.98
"2392","Branch Manager, Rental Services",41546.37,49331.2,54495.41,75029.71,78099.12
"2393","Sales Consultant, Retail",12.05,12.53,13.76,14.59,18
"2394","Automobile Service Writer",12.82,13.55,13.7,14.44,17.41
"2395","Retail Store Manager, Shoes",38000,41066.96,40968.2,52276.88,52327.24
"2396","Cage Cashier",11.97,12.31,12.81,14.79,15.36
"2397","Supermarket Store Manager",62630.68,68784.46,71250,75922.11,NA
"2398","Seafood Manager",12.95,16.05,16.16,16.89,17.07
"2399","Store Supervisor",14.5,15,18.59,NA,NA
"2400","Apple Genius",17.35,20.3,22.83,23.3,NA
"2401","Retail Store Assistant",10.17,11.19,12.03,12.59,14.62
"2402","Beauty Counter Manager",12.19,15.52,16.62,20.09,20.8
"2403","Jewelry Store Manager",46668.02,48539.79,52058.84,56344.55,NA
"2404","Optician, Retail Store Manager",19.08,21.49,24.6,24.41,NA
"2405","Book Seller",9.18,9.65,9.84,11.9,9.5
"2406","Department Manager, Hardware Store",13.99,14.9,14.65,15.35,17
"2407","Food Checker",11.16,12.16,13.45,14.08,17.81
"2408","Supermarket Department Manager, General",12.88,14.85,17.21,17.2,19.55
"2409","Supermarket Department Manager, Meat",15.04,16.7,18.37,20.26,NA
"2410","Budtender",13.18,13.69,13.5,NA,NA
"2411","Bridal Consultant",11.95,12.04,13.23,13.76,14
"2412","Sales Operations Lead",47750,66189.03,78527.67,115000,146250
"2413","Gift Shop Manager",13.36,14.08,14.6,15.03,18.31
"2414","Assistant Store Director",55350,53907.12,59153.27,60996.57,NA
"2415","Bookstore Manager",34107.97,36203.04,40669.21,46451.61,NA
"2416","Assistant Front End Manager",12.56,14.1,15.71,19.38,NA
"2417","Checker Retail",11.49,11.82,12.35,16.25,NA
"2418","Salesperson, Fashion/Apparel/Clothing",11.14,11.24,10.91,10.76,12.9
"2419","Sales Consultant, Mobile Telecommunications",11.93,11.94,16.32,15,NA
"2420","Account Manager",45432.15,52281.51,61623.37,63871.97,65415.07
"2421","Account Executive",44421.47,51336.74,62315.91,70894.47,77916.49
"2422","Inside Sales Representative",40526,43653.81,47397.19,49799.06,52268.72
"2423","Regional Sales Manager",56279.39,66652.46,79089.26,90725.9,97733
"2424","Outside Sales Representative",42598.88,46870.86,51621.82,55046.05,59836.77
"2425","Senior Account Manager",56341.57,67119.22,74398.04,80681.08,81301.69
"2426","Marketing Assistant",15.44,15.99,17.68,19,19.01
"2427","Sales Engineer",60901.93,69486.16,80814.22,89768.61,90622.98
"2428","Vice President (VP), Sales",95287.23,101976.83,124249.61,147919.32,154572.5
"2429","Insurance Agent",34645.74,36279.86,40079.33,44141.98,48605.17
"2430","Director of Sales",56193.98,64466.44,86148.77,105342.51,109945.11
"2431","Account Coordinator",39545.68,41282.96,48367.21,49018.8,51252.61
"2432","Sales Director",61277.16,71318.35,95705.52,113260.03,122356.49
"2433","Account Manager Sales",46429.86,51797.59,60101.45,66338,69245.38
"2434","Senior Account Executive",62244.15,67983.38,86068.92,91689.71,NA
"2435","Operations Support Specialist",45973.46,49977.12,52062.36,54991.93,60029.35
"2436","National Sales Manager",55855.61,65708.1,80313.53,93758.01,102748.21
"2437","Sales Specialist",14.68,15.86,16.62,17.96,17.83
"2438","General Sales Manager",43893.44,51211.92,60894.47,73316.32,79936.17
"2439","Sales Operations Manager",62060.61,73949.44,86966.19,91277.74,96268.11
"2440","Inside Sales Manager",49560.92,58158.11,62800.18,66132.68,70551.59
"2441","Area Sales Manager",47358.39,57097.68,67695.1,73621.59,78965.66
"2442","Insurance Sales Agent",32691.98,35661.36,41127.11,42577.86,50631.95
"2443","Business Development Representative",44160.32,47027.92,51876.59,57915.88,65000
"2444","Sales Development Representative (SDR)",44084.88,45417.37,50124.25,51958.91,46740.08
"2445","Key Account Manager",58422.77,65045.15,75503.02,81157.97,88686.76
"2446","Vice President (VP), Sales & Marketing",95388.11,116033.23,136240.55,147998.37,NA
"2447","Relationship Banker",17.42,18.2,18.55,19.19,20.28
"2448","National Account Manager",47573.38,68859.84,86300.98,96702.67,106980.38
"2449","Sales Support Specialist",16.63,17.56,19.79,20.74,21.31
"2450","Territory Sales Manager",53941.47,61303.18,67438.12,70326.16,75143.77
"2451","Sales and Marketing Manager",44279.63,50722.54,60809.01,71050.05,78721.4
"2452","Technical Account Manager",65959.98,72573.75,90992.81,117349.32,131060.78
"2453","District Sales Manager",61671.95,63829.96,72030.9,79507.03,88680.26
"2454","Territory Sales Representative",46099.34,50161.67,56328.77,62814.94,65000.84
"2455","Insurance Producer",30707.92,34343.08,38862.06,44024.73,55675.98
"2456","Account Specialist",45240.84,49242.33,50007.31,54044.97,57580.56
"2457","Territory Manager",50574.81,54797.83,62067.14,69393.11,70100.76
"2458","Sales Manager",46242.26,55855.39,62004.7,67011.21,81272.66
"2459","Account Manager, Commercial Lines",41020.19,45295.28,50845.81,54692.45,59361.06
"2460","Personal Shopper",11.83,12.27,13.76,13.1,13.11
"2461","Leasing Consultant",14.79,15.18,16.14,15.71,14.66
"2462","Sales Operations Analyst",57140.51,62091.41,69853.01,71007.63,79692.2
"2463","Customer Sales Representative (CSR)",11.58,13.51,14.12,14.08,15.32
"2464","Sales Representative",42762.89,46202.85,49842.24,58320.43,60299.72
"2465","Senior Sales Executive",50868.24,60575.77,74492.18,88880.85,92553.67
"2466","Salesperson / Salesman / Saleswoman",38270.42,40393.29,48955.58,54840.92,56466.33
"2467","Insurance Broker",49113.27,57956.69,71365.96,83196.68,85882.38
"2468","Business Development Executive",49933.19,55581.7,70600.89,104570.19,137215.41
"2469","Strategic Account Manager",57621.15,64294.31,79941.43,92152.2,103079.53
"2470","Leasing Agent, Real Estate",13.79,14.5,15.76,15.83,16.29
"2471","Director of Sales Operations",81569.99,99612.26,117283.43,126840.37,133467.08
"2472","Sales Account Executive",46389.01,53483.2,65246.36,64678.76,65839.4
"2473","Sales Representative, Pharmaceuticals",55433.58,68829.02,82499.37,99559.67,112448.44
"2474","Regional Sales Director",70985.92,79833.8,95559.19,111395.28,122134.45
"2475","Inside Sales Specialist",45506.43,45848.66,49903.84,50371.97,56474.06
"2476","Market Manager",50504.61,63879.67,69913.32,74628.56,87474.9
"2477","Senior Vice President (SVP), Sales",142500,157432.27,183032.82,190339.26,NA
"2478","International Sales Manager",49999.33,60933.09,75671.23,91246.54,104316.85
"2479","Account Manager, Insurance",41067.29,45853.69,49565.06,52673.55,53219.27
"2480","Senior Sales Engineer",96332.79,103966.13,116332.22,118926.46,NA
"2481","Marketing Intern",14.22,14.62,19.65,NA,NA
"2482","Financial Service Representative (FSR)",16.98,16.93,17.54,17.51,18.53
"2483","Assistant Account Executive",40792.93,41666.97,44710.99,44053.54,NA
"2484","Sales Operations Specialist",49722.27,52399.41,59680.93,63338.29,75000
"2485","Registered Client Associate",48385.7,50841.56,51956.03,53508.53,57301.49
"2486","Inside Sales Associate",16.28,16.48,17.88,18.57,17.84
"2487","Technical Sales Representative (TSR)",54953.43,58109.97,68703.06,71332.12,74086.53
"2488","Travel Agent",13.97,14.76,15.58,16.98,19.4
"2489","Technical Sales Engineer",61092.31,68777.68,82371.54,96949.39,101702.68
"2490","Marketing Representative",40880.58,47811.37,55403.49,59103.17,58716.16
"2491","Customer Account Manager",48043.67,52061.81,60248.89,70247.11,62420.73
"2492","Sales & Marketing Assistant",15.35,15.93,17.84,17.33,18.02
"2493","Financial Services Representative",16.42,17.17,17.62,19.18,18.13
"2494","Insurance Sales Representative",29472.01,33459.04,39792.28,41393.5,45388.73
"2495","Personal Lines Manager (Insurance)",39547.85,40771.57,47176.47,53813.15,59194.42
"2496","Sales Assistant, Inside",15.16,15.82,17.94,18.02,16.06
"2497","Lead Sales Associate",9.29,9.99,10.28,10.64,10.56
"2498","Route Sales Representative",45750.11,45238.2,51188.64,55223.96,53024.59
"2499","Branch Sales Manager",50000,59829.74,60566.66,66345.76,75196.56
"2500","Right of Way Agent",49913.53,57684.37,69045.36,76021.16,76631.26
"2501","Medical Device Sales Representative",49116.59,54006.66,73211.45,76924.72,77354.25
"2502","Sales Support Manager",49115.21,56608.84,64935.01,71689.72,79668.88
"2503","Sales Representative, Wholesale and Manufacturing, (but not Technical and Scientific Products)",40135.64,45110.76,51255.95,59108.49,60034.39
"2504","Real Estate Agent",40488.2,46968.41,51343.4,59757.04,68467.15
"2505","Regional Account Manager",50288.58,56348.15,66562.84,77833.08,81971.7
"2506","Sales Advisor",12.52,12.95,15.01,17.3,18.25
"2507","Associate Account Manager",44337.27,50328.88,54713.1,57470.77,66648
"2508","Account Executive, Inside Sales",39012.05,45387,47354.53,50393.02,52345
"2509","Assistant Sales Manager",40474.36,48017.94,53138.64,56365.65,57860.28
"2510","Associate Director, Sales and Marketing",80006.98,95485.14,118463.18,147974.63,NA
"2511","Group Sales Manager",39386.02,48545.4,56374.02,63932.48,60000
